Original_TROPOMI,Original_TROPOMI_precision,Bremen,Bremen_precision
1866.773193359375,1.4756475687026978,1851.7950114765893,9.536737125661174
1857.2777099609375,1.8076099157333374,1832.9873725299815,9.88092352180977
1846.141357421875,1.6009140014648438,1828.1297592582523,10.001753226583803
1857.26220703125,1.5903117656707764,1833.2675332673264,9.884770376727126
1859.1412353515625,1.5209267139434814,1842.4336961618255,9.49023557892802
1857.9302978515625,1.691032886505127,1836.5554264760092,9.62920861286053
1863.4200439453125,1.7559233903884888,1845.504703313489,9.87472068206803
1865.162841796875,1.6846873760223389,1849.0153263681527,9.79183059213982
1866.8323974609375,1.805371880531311,1849.2887395354157,10.161826293756274
1866.5350341796875,1.449205994606018,1839.6650582644572,9.88049873416021
1870.9034423828125,1.8232553005218506,1832.6782487481853,9.865364365764584
1850.386474609375,1.7564314603805542,1832.4052515565002,9.939052842888099
1854.037353515625,1.5776216983795166,1837.9466726147887,9.935501136039749
1857.752197265625,1.7662535905838013,1837.4623527297297,9.932465605207405
1849.4949951171875,1.5790446996688843,1835.4420850383167,9.979274770968008
1854.6619873046875,1.621543526649475,1839.190387409737,9.792135842768595
1862.25390625,1.6189770698547363,1844.5443208539323,9.785508967258565
1867.4365234375,1.6236695051193237,1849.4367348362425,9.739124198713116
1856.9798583984375,1.8084254264831543,1835.3247556922747,10.215782801853823
1861.1856689453125,1.7249972820281982,1840.936614401058,10.109862614135343
1857.869140625,1.664935827255249,1838.6558862032682,10.033763774309577
1872.5771484375,1.839904546737671,1836.367977301285,9.95740751312176
1865.9769287109375,1.5568416118621826,1824.5868584889492,9.919943027347989
1870.9815673828125,1.7117022275924683,1833.5289889457117,9.972161319251256
1856.495361328125,1.6947314739227295,1828.4287118243235,9.718633195534498
1861.5887451171875,1.5583088397979736,1833.5421837300007,9.749064563912752
1862.66748046875,1.7805408239364624,1840.7126376136778,9.778582890061614
1852.04150390625,1.5221291780471802,1839.3531453683993,9.764745866844386
1891.123046875,1.6275086402893066,1874.3036283180484,9.643644175344745
1879.651123046875,1.6950396299362183,1858.122155097242,9.693049722857847
1860.1370849609375,1.6109305620193481,1843.8509678682833,9.835896713268351
1863.277587890625,1.6533929109573364,1850.1367396773244,9.76172279654924
1865.26513671875,1.486207365989685,1845.8580571986047,9.5576476838803
1860.1341552734375,1.5298811197280884,1851.5458389625526,9.54747721310026
1856.046142578125,1.4604395627975464,1836.3081616756822,9.892508240790047
1868.0718994140625,1.8328492641448975,1844.1670437188463,9.85904632647364
1862.2969970703125,1.734779953956604,1831.923288867052,10.021651639577614
1859.2598876953125,1.5269025564193726,1837.9947654848636,9.833998650804633
1867.7149658203125,1.599117636680603,1821.6245011457802,9.944141116243589
1868.705810546875,1.705731987953186,1826.5163037311304,9.837860173559893
1860.9517822265625,1.732218861579895,1833.5525362170256,9.620355336481236
1861.3912353515625,1.5736074447631836,1832.1003333237245,9.75023003608628
1869.4940185546875,1.619058609008789,1844.7547254512567,9.59350567316279
1869.805908203125,1.6401879787445068,1848.4770628089577,9.513437334604605
1862.3681640625,1.6461700201034546,1846.0657635070877,9.523004954462717
1862.5115966796875,1.7350519895553589,1847.66209032576,9.778267403424094
1860.0250244140625,1.6788166761398315,1842.1076721594682,9.794419529144431
